utc,open,close,high,low,volume
2023-10-16T18:50:00.000000,0.78,0.78,0.78,0.78,4
2023-10-16T19:00:00.000000,0.77,0.77,0.78,0.77,634
2023-10-16T19:10:00.000000,0.77,0.77,0.77,0.77,235
2023-10-16T19:20:00.000000,0.77,0.77,0.77,0.77,1114
2023-10-16T19:30:00.000000,0.78,0.76,0.78,0.76,5147
2023-10-16T19:40:00.000000,0.77,0.77,0.77,0.76,4223
2023-10-16T19:50:00.000000,0.76,0.77,0.77,0.75,7659
2023-10-16T20:00:00.000000,0.76,0.77,0.77,0.76,2467
2023-10-16T20:10:00.000000,0.77,0.77,0.77,0.77,54
2023-10-16T20:20:00.000000,0.76,0.77,0.77,0.76,98
2023-10-16T20:30:00.000000,0.77,0.77,0.77,0.77,13
2023-10-16T20:40:00.000000,0.78,0.77,0.78,0.77,2005
2023-10-16T20:50:00.000000,0.76,0.76,0.76,0.76,2
2023-10-16T21:00:00.000000,0.77,0.77,0.77,0.77,10
2023-10-16T21:20:00.000000,0.77,0.78,0.78,0.77,2135
2023-10-16T21:40:00.000000,0.78,0.78,0.78,0.78,1
2023-10-16T22:20:00.000000,0.78,0.78,0.78,0.78,1
2023-10-17T11:30:00.000000,0.79,0.78,0.8,0.77,5419
2023-10-17T11:40:00.000000,0.78,0.79,0.8,0.78,1996
2023-10-17T11:50:00.000000,0.79,0.8,0.8,0.78,739
2023-10-17T12:00:00.000000,0.8,0.79,0.8,0.79,196
2023-10-17T12:10:00.000000,0.79,0.79,0.79,0.79,76
2023-10-17T12:20:00.000000,0.79,0.78,0.79,0.78,296
2023-10-17T12:40:00.000000,0.79,0.78,0.79,0.77,797
2023-10-17T12:50:00.000000,0.78,0.78,0.78,0.78,143
2023-10-17T13:00:00.000000,0.77,0.76,0.78,0.76,754
2023-10-17T13:10:00.000000,0.75,0.8,0.8,0.73,886
2023-10-17T13:20:00.000000,0.8,0.79,0.8,0.78,641
2023-10-17T13:30:00.000000,0.77,0.76,0.78,0.76,6849
2023-10-17T13:40:00.000000,0.78,0.78,0.79,0.77,607
2023-10-17T13:50:00.000000,0.79,0.78,0.79,0.78,287
2023-10-17T14:00:00.000000,0.78,0.79,0.79,0.78,2054
2023-10-17T14:10:00.000000,0.79,0.84,0.84,0.79,3485
2023-10-17T14:20:00.000000,0.84,0.83,0.89,0.8,81459
2023-10-17T14:30:00.000000,0.83,0.84,0.84,0.82,2749
2023-10-17T14:40:00.000000,0.84,0.85,0.86,0.83,4208
2023-10-17T14:50:00.000000,0.85,0.83,0.86,0.83,6549
2023-10-17T15:00:00.000000,0.84,0.88,0.89,0.83,66669
2023-10-17T15:10:00.000000,0.88,0.9,0.9,0.87,26024
2023-10-17T15:20:00.000000,0.9,1.01,1.1,0.89,164989
2023-10-17T15:30:00.000000,1.0,0.93,1.0,0.9,75933
2023-10-17T15:40:00.000000,0.93,0.94,0.94,0.9,41199
2023-10-17T15:50:00.000000,0.93,0.87,0.94,0.85,68305
2023-10-17T16:00:00.000000,0.87,0.89,0.89,0.86,35996
2023-10-17T16:10:00.000000,0.89,0.92,0.92,0.89,14081
2023-10-17T16:20:00.000000,0.91,0.93,0.93,0.9,5328
2023-10-17T16:30:00.000000,0.92,0.9,0.92,0.88,38132
2023-10-17T16:40:00.000000,0.9,0.89,0.9,0.88,972
2023-10-17T16:50:00.000000,0.9,0.91,0.92,0.9,1382
2023-10-17T17:00:00.000000,0.91,0.94,0.95,0.9,33241
2023-10-17T17:10:00.000000,0.94,0.93,0.94,0.92,5384
2023-10-17T17:20:00.000000,0.93,0.94,0.94,0.92,3804
