datetime,budget,strategy
2024-07-17 07:55:00,11641.016346666685,wait
2024-07-17 07:56:00,11641.016346666685,wait
2024-07-17 07:57:00,11641.016346666685,wait
2024-07-17 07:58:00,11641.016346666685,wait
2024-07-17 08:00:00,11641.016346666685,wait
2024-07-17 08:01:00,11641.016346666685,wait
2024-07-17 08:02:00,11641.016346666685,wait
2024-07-17 08:03:00,11641.016346666685,wait
2024-07-17 08:04:00,11641.016346666685,wait
2024-07-17 08:05:00,11641.016346666685,wait
2024-07-17 08:06:00,11641.016346666685,wait
2024-07-17 08:07:00,11641.016346666685,wait
2024-07-17 08:08:00,11641.016346666685,wait
2024-07-17 08:09:00,11641.016346666685,wait
2024-07-17 08:10:00,11641.016346666685,wait
2024-07-17 08:11:00,11641.016346666685,wait
2024-07-17 08:12:00,11641.016346666685,wait
2024-07-17 08:13:00,11641.016346666685,wait
2024-07-17 08:14:00,11641.016346666685,wait
2024-07-17 08:15:00,11641.016346666685,wait
2024-07-17 08:16:00,11641.016346666685,wait
2024-07-17 08:17:00,11641.016346666685,wait
2024-07-17 08:18:00,11641.016346666685,wait
2024-07-17 08:19:00,11641.016346666685,wait
2024-07-17 08:20:00,11641.016346666685,wait
2024-07-17 08:21:00,11641.016346666685,wait
2024-07-17 08:22:00,11641.016346666685,wait
2024-07-17 08:23:00,11641.016346666685,wait
2024-07-17 08:24:00,11641.016346666685,wait
2024-07-17 08:25:00,11641.016346666685,wait
2024-07-17 08:26:00,11641.016346666685,wait
2024-07-17 08:27:00,11641.016346666685,wait
2024-07-17 08:28:00,11641.016346666685,wait
2024-07-17 08:29:00,11641.016346666685,wait
2024-07-17 08:30:00,11641.016346666685,wait
2024-07-17 08:31:00,11641.016346666685,wait
2024-07-17 08:32:00,11641.016346666685,wait
2024-07-17 08:33:00,11641.016346666685,wait
2024-07-17 08:34:00,11641.016346666685,wait
2024-07-17 08:35:00,11641.016346666685,wait
